test,standard,from,to,score
Dash - 40 yd,1,12.001,15,0
Dash - 40 yd,1,11.864,12,10
Dash - 40 yd,1,11.783,11.863,20
Dash - 40 yd,1,11.702,11.782,30
Dash - 40 yd,1,11.621,11.701,40
Dash - 40 yd,1,11.54,11.62,50
Dash - 40 yd,1,11.459,11.539,60
Dash - 40 yd,1,11.378,11.458,70
Dash - 40 yd,1,11.297,11.377,80
Dash - 40 yd,1,11.216,11.296,90
Dash - 40 yd,1,11.135,11.215,100
Dash - 40 yd,1,11.054,11.134,110
Dash - 40 yd,1,10.973,11.053,120
Dash - 40 yd,1,10.892,10.972,130
Dash - 40 yd,1,10.811,10.891,140
Dash - 40 yd,1,10.73,10.81,150
Dash - 40 yd,1,10.649,10.729,160
Dash - 40 yd,1,10.568,10.648,170
Dash - 40 yd,1,10.487,10.567,180
Dash - 40 yd,1,10.406,10.486,190
Dash - 40 yd,1,10.325,10.405,200
Dash - 40 yd,1,10.244,10.324,210
Dash - 40 yd,1,10.163,10.243,220
Dash - 40 yd,1,10.082,10.162,230
Dash - 40 yd,1,10.001,10.081,240
Dash - 40 yd,1,9.925,10,250
Dash - 40 yd,1,9.824,9.924,260
Dash - 40 yd,1,9.723,9.823,270
Dash - 40 yd,1,9.622,9.722,280
Dash - 40 yd,1,9.521,9.621,290
Dash - 40 yd,1,9.42,9.52,300
Dash - 40 yd,1,9.319,9.419,310
Dash - 40 yd,1,9.218,9.318,320
Dash - 40 yd,1,9.117,9.217,330
Dash - 40 yd,1,9.016,9.116,340
Dash - 40 yd,1,8.915,9.015,350
Dash - 40 yd,1,8.814,8.914,360
Dash - 40 yd,1,8.713,8.813,370
Dash - 40 yd,1,8.612,8.712,380
Dash - 40 yd,1,8.511,8.611,390
Dash - 40 yd,1,8.41,8.51,400
Dash - 40 yd,1,8.309,8.409,410
Dash - 40 yd,1,8.208,8.308,420
Dash - 40 yd,1,8.107,8.207,430
Dash - 40 yd,1,8.006,8.106,440
Dash - 40 yd,1,7.905,8.005,450
Dash - 40 yd,1,7.804,7.904,460
Dash - 40 yd,1,7.703,7.803,470
Dash - 40 yd,1,7.602,7.702,480
Dash - 40 yd,1,7.501,7.601,490
Dash - 40 yd,1,7.465,7.5,500
Dash - 40 yd,1,7.404,7.464,510
Dash - 40 yd,1,7.343,7.403,520
Dash - 40 yd,1,7.282,7.342,530
Dash - 40 yd,1,7.221,7.281,540
Dash - 40 yd,1,7.16,7.22,550
Dash - 40 yd,1,7.099,7.159,560
Dash - 40 yd,1,7.038,7.098,570
Dash - 40 yd,1,6.977,7.037,580
Dash - 40 yd,1,6.916,6.976,590
Dash - 40 yd,1,6.855,6.915,600
Dash - 40 yd,1,6.794,6.854,610
Dash - 40 yd,1,6.733,6.793,620
Dash - 40 yd,1,6.672,6.732,630
Dash - 40 yd,1,6.611,6.671,640
Dash - 40 yd,1,6.55,6.61,650
Dash - 40 yd,1,6.489,6.549,660
Dash - 40 yd,1,6.428,6.488,670
Dash - 40 yd,1,6.367,6.427,680
Dash - 40 yd,1,6.306,6.366,690
Dash - 40 yd,1,6.245,6.305,700
Dash - 40 yd,1,6.184,6.244,710
Dash - 40 yd,1,6.123,6.183,720
Dash - 40 yd,1,6.062,6.122,730
Dash - 40 yd,1,6.001,6.061,740
Dash - 40 yd,1,5.948,6,750
Dash - 40 yd,1,5.881,5.947,760
Dash - 40 yd,1,5.813,5.88,770
Dash - 40 yd,1,5.745,5.812,780
Dash - 40 yd,1,5.678,5.744,790
Dash - 40 yd,1,5.61,5.677,800
Dash - 40 yd,1,5.542,5.609,810
Dash - 40 yd,1,5.475,5.541,820
Dash - 40 yd,1,5.407,5.474,830
Dash - 40 yd,1,5.339,5.406,840
Dash - 40 yd,1,5.272,5.338,850
Dash - 40 yd,1,5.204,5.271,860
Dash - 40 yd,1,5.136,5.203,870
Dash - 40 yd,1,5.069,5.135,880
Dash - 40 yd,1,5.001,5.068,890
Dash - 40 yd,1,4.925,5,900
Dash - 40 yd,1,4.844,4.924,910
Dash - 40 yd,1,4.763,4.843,920
Dash - 40 yd,1,4.682,4.762,930
Dash - 40 yd,1,4.601,4.681,940
Dash - 40 yd,1,4.533,4.6,950
Dash - 40 yd,1,4.46,4.532,960
Dash - 40 yd,1,4.387,4.459,970
Dash - 40 yd,1,4.314,4.386,980
Dash - 40 yd,1,4.241,4.313,990
Dash - 40 yd,1,3.5,4.24,1000
Standing Broad Jump,1,0.304,0,0
Standing Broad Jump,1,0.328,0.305,10
Standing Broad Jump,1,0.353,0.329,20
Standing Broad Jump,1,0.377,0.354,30
Standing Broad Jump,1,0.401,0.378,40
Standing Broad Jump,1,0.426,0.402,50
Standing Broad Jump,1,0.45,0.427,60
Standing Broad Jump,1,0.474,0.451,70
Standing Broad Jump,1,0.499,0.475,80
Standing Broad Jump,1,0.523,0.5,90
Standing Broad Jump,1,0.548,0.524,100
Standing Broad Jump,1,0.572,0.549,110
Standing Broad Jump,1,0.596,0.573,120
Standing Broad Jump,1,0.621,0.597,130
Standing Broad Jump,1,0.645,0.622,140
Standing Broad Jump,1,0.67,0.646,150
Standing Broad Jump,1,0.694,0.671,160
Standing Broad Jump,1,0.718,0.695,170
Standing Broad Jump,1,0.743,0.719,180
Standing Broad Jump,1,0.767,0.744,190
Standing Broad Jump,1,0.791,0.768,200
Standing Broad Jump,1,0.816,0.792,210
Standing Broad Jump,1,0.84,0.817,220
Standing Broad Jump,1,0.865,0.841,230
Standing Broad Jump,1,0.913,0.866,240
Standing Broad Jump,1,0.95,0.914,250
Standing Broad Jump,1,0.987,0.951,260
Standing Broad Jump,1,1.023,0.988,270
Standing Broad Jump,1,1.06,1.024,280
Standing Broad Jump,1,1.096,1.061,290
Standing Broad Jump,1,1.133,1.097,300
Standing Broad Jump,1,1.169,1.134,310
Standing Broad Jump,1,1.206,1.17,320
Standing Broad Jump,1,1.243,1.207,330
Standing Broad Jump,1,1.279,1.244,340
Standing Broad Jump,1,1.316,1.28,350
Standing Broad Jump,1,1.352,1.317,360
Standing Broad Jump,1,1.389,1.353,370
Standing Broad Jump,1,1.425,1.39,380
Standing Broad Jump,1,1.462,1.426,390
Standing Broad Jump,1,1.499,1.463,400
Standing Broad Jump,1,1.535,1.5,410
Standing Broad Jump,1,1.572,1.536,420
Standing Broad Jump,1,1.608,1.573,430
Standing Broad Jump,1,1.645,1.609,440
Standing Broad Jump,1,1.681,1.646,450
Standing Broad Jump,1,1.718,1.682,460
Standing Broad Jump,1,1.755,1.719,470
Standing Broad Jump,1,1.791,1.756,480
Standing Broad Jump,1,1.828,1.792,490
Standing Broad Jump,1,1.844,1.829,500
Standing Broad Jump,1,1.861,1.845,510
Standing Broad Jump,1,1.877,1.862,520
Standing Broad Jump,1,1.894,1.878,530
Standing Broad Jump,1,1.91,1.895,540
Standing Broad Jump,1,1.927,1.911,550
Standing Broad Jump,1,1.943,1.928,560
Standing Broad Jump,1,1.96,1.944,570
Standing Broad Jump,1,1.976,1.961,580
Standing Broad Jump,1,1.993,1.977,590
Standing Broad Jump,1,2.009,1.994,600
Standing Broad Jump,1,2.026,2.01,610
Standing Broad Jump,1,2.042,2.027,620
Standing Broad Jump,1,2.059,2.043,630
Standing Broad Jump,1,2.075,2.06,640
Standing Broad Jump,1,2.092,2.076,650
Standing Broad Jump,1,2.108,2.093,660
Standing Broad Jump,1,2.125,2.109,670
Standing Broad Jump,1,2.141,2.126,680
Standing Broad Jump,1,2.158,2.142,690
Standing Broad Jump,1,2.175,2.159,700
Standing Broad Jump,1,2.191,2.176,710
Standing Broad Jump,1,2.208,2.192,720
Standing Broad Jump,1,2.224,2.209,730
Standing Broad Jump,1,2.241,2.225,740
Standing Broad Jump,1,2.257,2.242,750
Standing Broad Jump,1,2.274,2.258,760
Standing Broad Jump,1,2.29,2.275,770
Standing Broad Jump,1,2.307,2.291,780
Standing Broad Jump,1,2.323,2.308,790
Standing Broad Jump,1,2.34,2.324,800
Standing Broad Jump,1,2.356,2.341,810
Standing Broad Jump,1,2.373,2.357,820
Standing Broad Jump,1,2.389,2.374,830
Standing Broad Jump,1,2.406,2.39,840
Standing Broad Jump,1,2.422,2.407,850
Standing Broad Jump,1,2.439,2.423,860
Standing Broad Jump,1,2.455,2.44,870
Standing Broad Jump,1,2.472,2.456,880
Standing Broad Jump,1,2.488,2.473,890
Standing Broad Jump,1,2.59,2.489,900
Standing Broad Jump,1,2.691,2.591,910
Standing Broad Jump,1,2.793,2.692,920
Standing Broad Jump,1,2.895,2.794,930
Standing Broad Jump,1,2.996,2.896,940
Standing Broad Jump,1,3.098,2.997,950
Standing Broad Jump,1,3.199,3.099,960
Standing Broad Jump,1,3.301,3.2,970
Standing Broad Jump,1,3.403,3.302,980
Standing Broad Jump,1,3.504,3.404,990
Standing Broad Jump,1,3.81,3.505,1000
Shuttle Run - 60 yd,1,24.001,100,0
Shuttle Run - 60 yd,1,23.76,24,10
Shuttle Run - 60 yd,1,23.52,23.759,20
Shuttle Run - 60 yd,1,23.28,23.519,30
Shuttle Run - 60 yd,1,23.04,23.279,40
Shuttle Run - 60 yd,1,22.8,23.039,50
Shuttle Run - 60 yd,1,22.56,22.799,60
Shuttle Run - 60 yd,1,22.32,22.559,70
Shuttle Run - 60 yd,1,22.08,22.319,80
Shuttle Run - 60 yd,1,21.84,22.079,90
Shuttle Run - 60 yd,1,21.6,21.839,100
Shuttle Run - 60 yd,1,21.36,21.599,110
Shuttle Run - 60 yd,1,21.12,21.359,120
Shuttle Run - 60 yd,1,20.88,21.119,130
Shuttle Run - 60 yd,1,20.64,20.879,140
Shuttle Run - 60 yd,1,20.4,20.639,150
Shuttle Run - 60 yd,1,20.16,20.399,160
Shuttle Run - 60 yd,1,19.92,20.159,170
Shuttle Run - 60 yd,1,19.68,19.919,180
Shuttle Run - 60 yd,1,19.44,19.679,190
Shuttle Run - 60 yd,1,19.2,19.439,200
Shuttle Run - 60 yd,1,18.96,19.199,210
Shuttle Run - 60 yd,1,18.72,18.959,220
Shuttle Run - 60 yd,1,18.48,18.719,230
Shuttle Run - 60 yd,1,18.24,18.479,240
Shuttle Run - 60 yd,1,18,18.239,250
Shuttle Run - 60 yd,1,17.92,17.999,260
Shuttle Run - 60 yd,1,17.84,17.919,270
Shuttle Run - 60 yd,1,17.76,17.839,280
Shuttle Run - 60 yd,1,17.68,17.759,290
Shuttle Run - 60 yd,1,17.6,17.679,300
Shuttle Run - 60 yd,1,17.52,17.599,310
Shuttle Run - 60 yd,1,17.44,17.519,320
Shuttle Run - 60 yd,1,17.36,17.439,330
Shuttle Run - 60 yd,1,17.28,17.359,340
Shuttle Run - 60 yd,1,17.2,17.279,350
Shuttle Run - 60 yd,1,17.12,17.199,360
Shuttle Run - 60 yd,1,17.04,17.119,370
Shuttle Run - 60 yd,1,16.96,17.039,380
Shuttle Run - 60 yd,1,16.88,16.959,390
Shuttle Run - 60 yd,1,16.8,16.879,400
Shuttle Run - 60 yd,1,16.72,16.799,410
Shuttle Run - 60 yd,1,16.64,16.719,420
Shuttle Run - 60 yd,1,16.56,16.639,430
Shuttle Run - 60 yd,1,16.48,16.559,440
Shuttle Run - 60 yd,1,16.4,16.479,450
Shuttle Run - 60 yd,1,16.32,16.399,460
Shuttle Run - 60 yd,1,16.24,16.319,470
Shuttle Run - 60 yd,1,16.16,16.239,480
Shuttle Run - 60 yd,1,16.08,16.159,490
Shuttle Run - 60 yd,1,16,16.079,500
Shuttle Run - 60 yd,1,15.93,15.999,510
Shuttle Run - 60 yd,1,15.86,15.929,520
Shuttle Run - 60 yd,1,15.79,15.859,530
Shuttle Run - 60 yd,1,15.72,15.789,540
Shuttle Run - 60 yd,1,15.65,15.719,550
Shuttle Run - 60 yd,1,15.58,15.649,560
Shuttle Run - 60 yd,1,15.51,15.579,570
Shuttle Run - 60 yd,1,15.44,15.509,580
Shuttle Run - 60 yd,1,15.37,15.439,590
Shuttle Run - 60 yd,1,15.3,15.369,600
Shuttle Run - 60 yd,1,15.23,15.299,610
Shuttle Run - 60 yd,1,15.16,15.229,620
Shuttle Run - 60 yd,1,15.09,15.159,630
Shuttle Run - 60 yd,1,15.02,15.089,640
Shuttle Run - 60 yd,1,14.95,15.019,650
Shuttle Run - 60 yd,1,14.88,14.949,660
Shuttle Run - 60 yd,1,14.81,14.879,670
Shuttle Run - 60 yd,1,14.74,14.809,680
Shuttle Run - 60 yd,1,14.67,14.739,690
Shuttle Run - 60 yd,1,14.6,14.669,700
Shuttle Run - 60 yd,1,14.53,14.599,710
Shuttle Run - 60 yd,1,14.46,14.529,720
Shuttle Run - 60 yd,1,14.39,14.459,730
Shuttle Run - 60 yd,1,14.32,14.389,740
Shuttle Run - 60 yd,1,14.25,14.319,750
Shuttle Run - 60 yd,1,14.167,14.249,760
Shuttle Run - 60 yd,1,14.083,14.166,770
Shuttle Run - 60 yd,1,14,14.082,780
Shuttle Run - 60 yd,1,13.917,13.999,790
Shuttle Run - 60 yd,1,13.833,13.916,800
Shuttle Run - 60 yd,1,13.75,13.832,810
Shuttle Run - 60 yd,1,13.667,13.749,820
Shuttle Run - 60 yd,1,13.583,13.666,830
Shuttle Run - 60 yd,1,13.5,13.582,840
Shuttle Run - 60 yd,1,13.417,13.499,850
Shuttle Run - 60 yd,1,13.333,13.416,860
Shuttle Run - 60 yd,1,13.25,13.332,870
Shuttle Run - 60 yd,1,13.167,13.249,880
Shuttle Run - 60 yd,1,13.083,13.166,890
Shuttle Run - 60 yd,1,13,13.082,900
Shuttle Run - 60 yd,1,12.8,12.999,910
Shuttle Run - 60 yd,1,12.6,12.799,920
Shuttle Run - 60 yd,1,12.4,12.599,930
Shuttle Run - 60 yd,1,12.2,12.399,940
Shuttle Run - 60 yd,1,12,12.199,950
Shuttle Run - 60 yd,1,11.501,11.999,960
Shuttle Run - 60 yd,1,11.251,11.5,970
Shuttle Run - 60 yd,1,11.001,11.25,980
Shuttle Run - 60 yd,1,10.751,11,990
Shuttle Run - 60 yd,1,0,10.75,1000
Bench Press - 1 Rep Max,1,20.411,0,0
Bench Press - 1 Rep Max,1,21.318,20.412,10
Bench Press - 1 Rep Max,1,22.225,21.319,20
Bench Press - 1 Rep Max,1,23.133,22.226,30
Bench Press - 1 Rep Max,1,24.04,23.134,40
Bench Press - 1 Rep Max,1,24.947,24.041,50
Bench Press - 1 Rep Max,1,25.854,24.948,60
Bench Press - 1 Rep Max,1,26.761,25.855,70
Bench Press - 1 Rep Max,1,27.669,26.762,80
Bench Press - 1 Rep Max,1,28.576,27.67,90
Bench Press - 1 Rep Max,1,29.483,28.577,100
Bench Press - 1 Rep Max,1,30.39,29.484,110
Bench Press - 1 Rep Max,1,31.297,30.391,120
Bench Press - 1 Rep Max,1,32.205,31.298,130
Bench Press - 1 Rep Max,1,33.112,32.206,140
Bench Press - 1 Rep Max,1,34.019,33.113,150
Bench Press - 1 Rep Max,1,34.926,34.02,160
Bench Press - 1 Rep Max,1,35.833,34.927,170
Bench Press - 1 Rep Max,1,36.741,35.834,180
Bench Press - 1 Rep Max,1,37.648,36.742,190
Bench Press - 1 Rep Max,1,38.555,37.649,200
Bench Press - 1 Rep Max,1,39.462,38.556,210
Bench Press - 1 Rep Max,1,40.369,39.463,220
Bench Press - 1 Rep Max,1,41.277,40.37,230
Bench Press - 1 Rep Max,1,43.091,41.278,240
Bench Press - 1 Rep Max,1,43.817,43.092,250
Bench Press - 1 Rep Max,1,44.543,43.818,260
Bench Press - 1 Rep Max,1,45.268,44.544,270
Bench Press - 1 Rep Max,1,45.994,45.269,280
Bench Press - 1 Rep Max,1,46.72,45.995,290
Bench Press - 1 Rep Max,1,47.446,46.721,300
Bench Press - 1 Rep Max,1,48.171,47.447,310
Bench Press - 1 Rep Max,1,48.897,48.172,320
Bench Press - 1 Rep Max,1,49.623,48.898,330
Bench Press - 1 Rep Max,1,50.349,49.624,340
Bench Press - 1 Rep Max,1,51.074,50.35,350
Bench Press - 1 Rep Max,1,51.8,51.075,360
Bench Press - 1 Rep Max,1,52.526,51.801,370
Bench Press - 1 Rep Max,1,53.252,52.527,380
Bench Press - 1 Rep Max,1,53.977,53.253,390
Bench Press - 1 Rep Max,1,54.703,53.978,400
Bench Press - 1 Rep Max,1,55.429,54.704,410
Bench Press - 1 Rep Max,1,56.155,55.43,420
Bench Press - 1 Rep Max,1,56.88,56.156,430
Bench Press - 1 Rep Max,1,57.606,56.881,440
Bench Press - 1 Rep Max,1,58.332,57.607,450
Bench Press - 1 Rep Max,1,59.058,58.333,460
Bench Press - 1 Rep Max,1,59.783,59.059,470
Bench Press - 1 Rep Max,1,60.509,59.784,480
Bench Press - 1 Rep Max,1,61.235,60.51,490
Bench Press - 1 Rep Max,1,62.505,61.236,500
Bench Press - 1 Rep Max,1,63.775,62.506,510
Bench Press - 1 Rep Max,1,65.045,63.776,520
Bench Press - 1 Rep Max,1,66.315,65.046,530
Bench Press - 1 Rep Max,1,67.585,66.316,540
Bench Press - 1 Rep Max,1,68.855,67.586,550
Bench Press - 1 Rep Max,1,70.126,68.856,560
Bench Press - 1 Rep Max,1,71.396,70.127,570
Bench Press - 1 Rep Max,1,72.666,71.397,580
Bench Press - 1 Rep Max,1,73.936,72.667,590
Bench Press - 1 Rep Max,1,75.206,73.937,600
Bench Press - 1 Rep Max,1,76.476,75.207,610
Bench Press - 1 Rep Max,1,77.746,76.477,620
Bench Press - 1 Rep Max,1,79.016,77.747,630
Bench Press - 1 Rep Max,1,80.286,79.017,640
Bench Press - 1 Rep Max,1,81.556,80.287,650
Bench Press - 1 Rep Max,1,82.826,81.557,660
Bench Press - 1 Rep Max,1,84.096,82.827,670
Bench Press - 1 Rep Max,1,85.367,84.097,680
Bench Press - 1 Rep Max,1,86.637,85.368,690
Bench Press - 1 Rep Max,1,87.907,86.638,700
Bench Press - 1 Rep Max,1,89.177,87.908,710
Bench Press - 1 Rep Max,1,90.447,89.178,720
Bench Press - 1 Rep Max,1,91.717,90.448,730
Bench Press - 1 Rep Max,1,92.987,91.718,740
Bench Press - 1 Rep Max,1,95.104,92.988,750
Bench Press - 1 Rep Max,1,97.221,95.105,760
Bench Press - 1 Rep Max,1,99.337,97.222,770
Bench Press - 1 Rep Max,1,101.454,99.338,780
Bench Press - 1 Rep Max,1,103.571,101.455,790
Bench Press - 1 Rep Max,1,105.688,103.572,800
Bench Press - 1 Rep Max,1,107.805,105.689,810
Bench Press - 1 Rep Max,1,109.921,107.806,820
Bench Press - 1 Rep Max,1,112.038,109.922,830
Bench Press - 1 Rep Max,1,114.155,112.039,840
Bench Press - 1 Rep Max,1,116.272,114.156,850
Bench Press - 1 Rep Max,1,118.389,116.273,860
Bench Press - 1 Rep Max,1,120.505,118.39,870
Bench Press - 1 Rep Max,1,122.622,120.506,880
Bench Press - 1 Rep Max,1,124.739,122.623,890
Bench Press - 1 Rep Max,1,132.904,124.74,900
Bench Press - 1 Rep Max,1,141.069,132.905,910
Bench Press - 1 Rep Max,1,149.233,141.07,920
Bench Press - 1 Rep Max,1,157.398,149.234,930
